sku,product_name,name_en,barcode,category,category_en,type,group,world,brand,room,material,diameter_inch,diameter_dn,diameter_mm,length_mm,angle,connection,gender,color,pressure_bar,max_temp_c,capacity,price,description,image_file,image_url,gallery_files,gallery_urls,image_count,page_url
5901600025,צינור אולטרה בטון בקוטר 160 L250,,,,,צינור,,,Huliot,,,,,,,,,,,,,,,,5901600025.jpg,https://www.huliot.co.il/wp-content/uploads/2018/01/Ultra_Green_Enlarge-10.jpg,5901600025.jpg|5901600025_1.jpg|5901600025_2.jpg|5901600025_3.jpg|5901600025_4.jpg|5901600025_5.jpg,https://www.huliot.co.il/wp-content/uploads/2018/01/Ultra_Green_Enlarge-10.jpg|https://www.huliot.co.il/wp-content/uploads/2018/01/Ultra_Green_Enlarge-2.jpg|https://www.huliot.co.il/wp-content/uploads/2018/01/Ultra_Green_Enlarge-5.jpg|https://www.huliot.co.il/wp-content/uploads/2018/01/Ultra_Green_Enlarge-8.jpg|https://www.huliot.co.il/wp-content/uploads/2018/08/UltraBeton_Enlarge.jpg|https://www.huliot.co.il/wp-content/uploads/category-banner-ultra-silent-1080x169.jpg,6,https://www.huliot.co.il/product/%D7%A6%D7%99%D7%A0%D7%95%D7%A8-%D7%90%D7%95%D7%9C%D7%98%D7%A8%D7%94-%D7%91%D7%98%D7%95%D7%9F-%D7%91%D7%A7%D7%95%D7%98%D7%A8-160-l250/
5901600300,צינור אולטרה בטון  בקוטר 160 L3000,,,,,צינור,,,Huliot,,,,,,,,,,,,,,,,5901600300.jpg,https://www.huliot.co.il/wp-content/uploads/2018/01/UltraSilent2Head_Enlarge-3.jpg,5901600300.jpg|5901600300_1.jpg|5901600300_2.jpg|5901600300_3.jpg|5901600300_4.jpg|5901600300_5.jpg,https://www.huliot.co.il/wp-content/uploads/2018/01/UltraSilent2Head_Enlarge-3.jpg|https://www.huliot.co.il/wp-content/uploads/2018/01/UltraSilent2Head_Enlarge-4.jpg|https://www.huliot.co.il/wp-content/uploads/2018/01/Ultra_Green_Enlarge-10.jpg|https://www.huliot.co.il/wp-content/uploads/2018/01/Ultra_Green_Enlarge-7.jpg|https://www.huliot.co.il/wp-content/uploads/2018/08/UltraBeton_Enlarge.jpg|https://www.huliot.co.il/wp-content/uploads/category-banner-ultra-silent-1080x169.jpg,6,https://www.huliot.co.il/product/%D7%A6%D7%99%D7%A0%D7%95%D7%A8-%D7%90%D7%95%D7%9C%D7%98%D7%A8%D7%94-%D7%91%D7%98%D7%95%D7%9F-%D7%91%D7%A7%D7%95%D7%98%D7%A8-160-l3000/
5901600050,צינור אולטרה בטון  בקוטר 160 L500,,,,,צינור,,,Huliot,,,,,,,,,,,,,,,,5901600050.jpg,https://www.huliot.co.il/wp-content/uploads/2018/01/UltraSilent2Head_Enlarge-3.jpg,5901600050.jpg|5901600050_1.jpg|5901600050_2.jpg|5901600050_3.jpg|5901600050_4.jpg,https://www.huliot.co.il/wp-content/uploads/2018/01/UltraSilent2Head_Enlarge-3.jpg|https://www.huliot.co.il/wp-content/uploads/2018/01/Ultra_Green_Enlarge-7.jpg|https://www.huliot.co.il/wp-content/uploads/2018/08/UltraBeton2Head_Enlarge.jpg|https://www.huliot.co.il/wp-content/uploads/2018/08/UltraBeton_Enlarge.jpg|https://www.huliot.co.il/wp-content/uploads/category-banner-ultra-silent-1080x169.jpg,5,https://www.huliot.co.il/product/%D7%A6%D7%99%D7%A0%D7%95%D7%A8-%D7%90%D7%95%D7%9C%D7%98%D7%A8%D7%94-%D7%91%D7%98%D7%95%D7%9F-%D7%91%D7%A7%D7%95%D7%98%D7%A8-160-l500/
5902000100,צינור אולטרה בטון  בקוטר 200 L1000,,,,,צינור,,,Huliot,,,,,,,,,,,,,,,,5902000100.jpg,https://www.huliot.co.il/wp-content/uploads/2018/01/Ultra_Green_Enlarge-1.jpg,5902000100.jpg|5902000100_1.jpg|5902000100_2.jpg|5902000100_3.jpg|5902000100_4.jpg|5902000100_5.jpg,https://www.huliot.co.il/wp-content/uploads/2018/01/Ultra_Green_Enlarge-1.jpg|https://www.huliot.co.il/wp-content/uploads/2018/01/Ultra_Green_Enlarge-15.jpg|https://www.huliot.co.il/wp-content/uploads/2018/01/Ultra_Green_Enlarge-4.jpg|https://www.huliot.co.il/wp-content/uploads/2018/08/UltraBeton2Head_Enlarge.jpg|https://www.huliot.co.il/wp-content/uploads/2018/08/UltraBeton_Enlarge.jpg|https://www.huliot.co.il/wp-content/uploads/category-banner-ultra-silent-1080x169.jpg,6,https://www.huliot.co.il/product/%D7%A6%D7%99%D7%A0%D7%95%D7%A8-%D7%90%D7%95%D7%9C%D7%98%D7%A8%D7%94-%D7%91%D7%98%D7%95%D7%9F-%D7%91%D7%A7%D7%95%D7%98%D7%A8-200-l1000/
5902000300,צינור אולטרה בטון  בקוטר 200 L3000,,,,,צינור,,,Huliot,,,,,,,,,,,,,,,,5902000300.jpg,https://www.huliot.co.il/wp-content/uploads/2018/01/UltraSilent2Head_Enlarge-3.jpg,5902000300.jpg|5902000300_1.jpg|5902000300_2.jpg|5902000300_3.jpg|5902000300_4.jpg|5902000300_5.jpg,https://www.huliot.co.il/wp-content/uploads/2018/01/UltraSilent2Head_Enlarge-3.jpg|https://www.huliot.co.il/wp-content/uploads/2018/01/Ultra_Green_Enlarge-3.jpg|https://www.huliot.co.il/wp-content/uploads/2018/01/Ultra_Green_Enlarge-5.jpg|https://www.huliot.co.il/wp-content/uploads/2018/01/Ultra_Green_Enlarge-8.jpg|https://www.huliot.co.il/wp-content/uploads/2018/08/UltraBeton_Enlarge.jpg|https://www.huliot.co.il/wp-content/uploads/category-banner-ultra-silent-1080x169.jpg,6,https://www.huliot.co.il/product/%D7%A6%D7%99%D7%A0%D7%95%D7%A8-%D7%90%D7%95%D7%9C%D7%98%D7%A8%D7%94-%D7%91%D7%98%D7%95%D7%9F-%D7%91%D7%A7%D7%95%D7%98%D7%A8-200-l3000/
5907500300,צינור אולטרה בטון  בקוטר 75 L3000,,,,,צינור,,,Huliot,,,,,,,,,,,,,,,,5907500300.jpg,https://www.huliot.co.il/wp-content/uploads/2018/01/UltraSilent2Head_Enlarge.jpg,5907500300.jpg|5907500300_1.jpg|5907500300_2.jpg|5907500300_3.jpg|5907500300_4.jpg|5907500300_5.jpg,https://www.huliot.co.il/wp-content/uploads/2018/01/UltraSilent2Head_Enlarge.jpg|https://www.huliot.co.il/wp-content/uploads/2018/01/Ultra_Green_Enlarge-1.jpg|https://www.huliot.co.il/wp-content/uploads/2018/01/Ultra_Green_Enlarge-11.jpg|https://www.huliot.co.il/wp-content/uploads/2018/01/Ultra_Green_Enlarge.jpg|https://www.huliot.co.il/wp-content/uploads/2018/08/UltraBeton_Enlarge.jpg|https://www.huliot.co.il/wp-content/uploads/category-banner-ultra-silent-1080x169.jpg,6,https://www.huliot.co.il/product/%D7%A6%D7%99%D7%A0%D7%95%D7%A8-%D7%90%D7%95%D7%9C%D7%98%D7%A8%D7%94-%D7%91%D7%98%D7%95%D7%9F-%D7%91%D7%A7%D7%95%D7%98%D7%A8-75-l3000/
5901111400,צינור אולטרה בטון דו ראשי  בקוטר 110 L4000,,,,,צינור,,,Huliot,,,,,,,,,,,,,,,,5901111400.jpg,https://www.huliot.co.il/wp-content/uploads/2018/01/Ultra_Green_Enlarge-1.jpg,5901111400.jpg|5901111400_1.jpg|5901111400_2.jpg|5901111400_3.jpg|5901111400_4.jpg,https://www.huliot.co.il/wp-content/uploads/2018/01/Ultra_Green_Enlarge-1.jpg|https://www.huliot.co.il/wp-content/uploads/2018/01/Ultra_Green_Enlarge-6.jpg|https://www.huliot.co.il/wp-content/uploads/2018/01/Ultra_Green_Enlarge.jpg|https://www.huliot.co.il/wp-content/uploads/2018/08/UltraBeton2Head_Enlarge.jpg|https://www.huliot.co.il/wp-content/uploads/category-banner-ultra-silent-1080x169.jpg,5,https://www.huliot.co.il/product/%D7%A6%D7%99%D7%A0%D7%95%D7%A8-%D7%90%D7%95%D7%9C%D7%98%D7%A8%D7%94-%D7%91%D7%98%D7%95%D7%9F-%D7%93%D7%95-%D7%A8%D7%90%D7%A9%D7%99-%D7%91%D7%A7%D7%95%D7%98%D7%A8-110-l4000/
5901616400,צינור אולטרה בטון דו ראשי  בקוטר 160 L4000,,,,,צינור,,,Huliot,,,,,,,,,,,,,,,,5901616400.jpg,https://www.huliot.co.il/wp-content/uploads/2018/01/Ultra_Green_Enlarge-10.jpg,5901616400.jpg|5901616400_1.jpg|5901616400_2.jpg|5901616400_3.jpg|5901616400_4.jpg,https://www.huliot.co.il/wp-content/uploads/2018/01/Ultra_Green_Enlarge-10.jpg|https://www.huliot.co.il/wp-content/uploads/2018/01/Ultra_Green_Enlarge-13.jpg|https://www.huliot.co.il/wp-content/uploads/2018/01/Ultra_Green_Enlarge-7.jpg|https://www.huliot.co.il/wp-content/uploads/2018/08/UltraBeton2Head_Enlarge.jpg|https://www.huliot.co.il/wp-content/uploads/category-banner-ultra-silent-1080x169.jpg,5,https://www.huliot.co.il/product/%D7%A6%D7%99%D7%A0%D7%95%D7%A8-%D7%90%D7%95%D7%9C%D7%98%D7%A8%D7%94-%D7%91%D7%98%D7%95%D7%9F-%D7%93%D7%95-%D7%A8%D7%90%D7%A9%D7%99-%D7%91%D7%A7%D7%95%D7%98%D7%A8-160-l4000/
5907575300,צינור אולטרה בטון דו ראשי  בקוטר 75  L3000,,,,,צינור,,,Huliot,,,,,,,,,,,,,,,,5907575300.jpg,https://www.huliot.co.il/wp-content/uploads/2018/01/Ultra_Green_Enlarge-11.jpg,5907575300.jpg|5907575300_1.jpg|5907575300_2.jpg|5907575300_3.jpg|5907575300_4.jpg|5907575300_5.jpg,https://www.huliot.co.il/wp-content/uploads/2018/01/Ultra_Green_Enlarge-11.jpg|https://www.huliot.co.il/wp-content/uploads/2018/01/Ultra_Green_Enlarge-12.jpg|https://www.huliot.co.il/wp-content/uploads/2018/01/Ultra_Green_Enlarge-13.jpg|https://www.huliot.co.il/wp-content/uploads/2018/01/Ultra_Green_Enlarge-2.jpg|https://www.huliot.co.il/wp-content/uploads/2018/08/UltraBeton2Head_Enlarge.jpg|https://www.huliot.co.il/wp-content/uploads/category-banner-ultra-silent-1080x169.jpg,6,https://www.huliot.co.il/product/%D7%A6%D7%99%D7%A0%D7%95%D7%A8-%D7%90%D7%95%D7%9C%D7%98%D7%A8%D7%94-%D7%91%D7%98%D7%95%D7%9F-%D7%93%D7%95-%D7%A8%D7%90%D7%A9%D7%99-%D7%91%D7%A7%D7%95%D7%98%D7%A8-75-l3000/
5302000100,צינור אולטרה ווייט בקוטר Ø200 L-1000,,,,,צינור,,,Huliot,,,,,200,,,,,,,,,,,5302000100.jpg,https://www.huliot.co.il/wp-content/uploads/2016/05/BendW_30_Enlarge.jpg,5302000100.jpg|5302000100_1.jpg|5302000100_2.png|5302000100_3.jpg,https://www.huliot.co.il/wp-content/uploads/2016/05/BendW_30_Enlarge.jpg|https://www.huliot.co.il/wp-content/uploads/2016/05/Inspection_PipeW_Enlarge.jpg|https://www.huliot.co.il/wp-content/uploads/Ultra_white_Enlarge.png|https://www.huliot.co.il/wp-content/uploads/category-banner-ultra-silent-1080x169.jpg,4,https://www.huliot.co.il/product/%D7%A6%D7%99%D7%A0%D7%95%D7%A8-%D7%90%D7%95%D7%9C%D7%98%D7%A8%D7%94-%D7%95%D7%95%D7%99%D7%99%D7%98-%D7%91%D7%A7%D7%95%D7%98%D7%A8-o200-l-1000-2/
