sku,product_name,type,features,series,application,connection,thread,gender,material,color,sizes_raw,diameter_mm,diameter2_mm,diameter3_mm,angle_deg,inch,length_mm,wall_mm,sdr,sn_class,leftover,image_file,image_count,page_url
43090840,ברך לביוב 250/87°,ברך,,,ביוב,,,,,,250,250,,,87,,,,,,,43090840.jpg,4,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%91%D7%99%D7%95%D7%91-25087/
43031430,ברך לביוב 315/45°,ברך,,,ביוב,,,,,,315,315,,,45,,,,,,,43031430.jpg,4,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%91%D7%99%D7%95%D7%91-31545/
43031830,ברך לביוב 315/87°,ברך,,,ביוב,,,,,,315,315,,,87,,,,,,,43031830.jpg,4,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%91%D7%99%D7%95%D7%91-31587/
43045430,ברך לביוב 400/45°,ברך,,,ביוב,,,,,,400,400,,,45,,,,,,,43045430.jpg,4,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%91%D7%99%D7%95%D7%91-40045/
43049840,ברך לביוב 400/87°,ברך,,,ביוב,,,,,,400,400,,,87,,,,,,,43049840.jpg,4,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%91%D7%99%D7%95%D7%91-40087/
43060459,ברך לביוב 45°160/45° עם ביקורת שמאל,ברך,עם ביקורת|שמאל,,ביוב,,,,,,160/45,160,45,,45,,,,,,°,43060459.jpg,4,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%91%D7%99%D7%95%D7%91-4516045-%D7%A2%D7%9D-%D7%91%D7%99%D7%A7%D7%95%D7%A8%D7%AA-%D7%A9%D7%9E%D7%90%D7%9C/
45040050,ברך למי גשם  110/67,ברך,,,,,,,,,110/67,110,,,67,,,,,,למי גשם,45040050.jpg,3,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%9E%D7%99-%D7%92%D7%A9%D7%9D-11067/
60053930,ברך לסיפון או ניקוז 50/32/90°,ברך,,,,,,,,,50/32,50,32,,90,,,,,,לסיפון או ניקוז,60053930.jpg,5,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A1%D7%99%D7%A4%D7%95%D7%9F-%D7%90%D7%95-%D7%A0%D7%99%D7%A7%D7%95%D7%96-50-32-90/
9091020108,"ברך לריתוך הברגה לנקודת מים עם משטח ריסון – תבריג פנימי ""½20X נטול עופרת",ברך,נטול עופרת,,נקודת מים,ריתוך,פנימי,,,,,,,,,"½2""",,,,,עם משטח ריסון 0X,9091020108.jpg,4,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-%D7%94%D7%91%D7%A8%D7%92%D7%94-%D7%9C%D7%A0%D7%A7%D7%95%D7%93%D7%AA-%D7%9E%D7%99%D7%9D-%D7%A2%D7%9D-%D7%9E%D7%A9%D7%98%D7%97-%D7%A8%D7%99%D7%A1/
92518005,"ברך לריתוך הברגה לנקודת מים עם משטח ריסון – תבריג פנימי ""¾/20",ברך,,,נקודת מים,ריתוך,פנימי,,,,,,,,,"¾""",,,,,עם משטח ריסון 20,92518005.jpg,5,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-%D7%94%D7%91%D7%A8%D7%92%D7%94-%D7%9C%D7%A0%D7%A7%D7%95%D7%93%D7%AA-%D7%9E%D7%99%D7%9D-%D7%A2%D7%9D-%D7%9E%D7%A9%D7%98%D7%97-%D7%A8%D7%99-2/
9091020113,"ברך לריתוך הברגה לנקודת מים עם משטח ריסון – תבריג פנימי ""½25X נטול עופרת",ברך,נטול עופרת,,נקודת מים,ריתוך,פנימי,,,,,,,,,"½2""",,,,,עם משטח ריסון 5X,9091020113.jpg,4,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-%D7%94%D7%91%D7%A8%D7%92%D7%94-%D7%9C%D7%A0%D7%A7%D7%95%D7%93%D7%AA-%D7%9E%D7%99%D7%9D-%D7%A2%D7%9D-%D7%9E%D7%A9%D7%98%D7%97-%D7%A8%D7%99-3/
92518007,"ברך לריתוך הברגה לנקודת מים עם משטח ריסון – תבריג פנימי ""¾/25",ברך,,,נקודת מים,ריתוך,פנימי,,,,,,,,,"¾""",,,,,עם משטח ריסון 25,92518007.jpg,5,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-%D7%94%D7%91%D7%A8%D7%92%D7%94-%D7%9C%D7%A0%D7%A7%D7%95%D7%93%D7%AA-%D7%9E%D7%99%D7%9D-%D7%A2%D7%9D-%D7%9E%D7%A9%D7%98%D7%97-%D7%A8%D7%99-4/
92518255,"ברך לריתוך הברגה לנקודת מים – תבריג חיצוני ""¾/20",ברך,,,נקודת מים,ריתוך,חיצוני,,,,,,,,,"¾""",,,,,20,92518255.jpg,4,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-%D7%94%D7%91%D7%A8%D7%92%D7%94-%D7%9C%D7%A0%D7%A7%D7%95%D7%93%D7%AA-%D7%9E%D7%99%D7%9D-%D7%AA%D7%91%D7%A8%D7%99%D7%92-%D7%97%D7%99%D7%A6%D7%95-2/
92518257,"ברך לריתוך הברגה לנקודת מים – תבריג חיצוני ""¾/25",ברך,,,נקודת מים,ריתוך,חיצוני,,,,,,,,,"¾""",,,,,25,92518257.jpg,4,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-%D7%94%D7%91%D7%A8%D7%92%D7%94-%D7%9C%D7%A0%D7%A7%D7%95%D7%93%D7%AA-%D7%9E%D7%99%D7%9D-%D7%AA%D7%91%D7%A8%D7%99%D7%92-%D7%97%D7%99%D7%A6%D7%95-3/
9091023512,"ברך לריתוך הברגה לנקודת מים – תבריג חיצוני ""¾32X נטול עופרת",ברך,נטול עופרת,,נקודת מים,ריתוך,חיצוני,,,,,,,,,"¾3""",,,,,2X,9091023512.jpg,4,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-%D7%94%D7%91%D7%A8%D7%92%D7%94-%D7%9C%D7%A0%D7%A7%D7%95%D7%93%D7%AA-%D7%9E%D7%99%D7%9D-%D7%AA%D7%91%D7%A8%D7%99%D7%92-%D7%97%D7%99%D7%A6%D7%95-4/
92518259,"ברך לריתוך הברגה לנקודת מים – תבריג חיצוני ""32/1",ברך,,,נקודת מים,ריתוך,חיצוני,,,,,,,,,"3""",,,,,2 1,92518259.jpg,4,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-%D7%94%D7%91%D7%A8%D7%92%D7%94-%D7%9C%D7%A0%D7%A7%D7%95%D7%93%D7%AA-%D7%9E%D7%99%D7%9D-%D7%AA%D7%91%D7%A8%D7%99%D7%92-%D7%97%D7%99%D7%A6%D7%95-5/
92518254,"ברך לריתוך הברגה לנקודת מים – תבריג חיצוני ""½/20",ברך,,,נקודת מים,ריתוך,חיצוני,,,,,,,,,"½""",,,,,20,92518254.jpg,5,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-%D7%94%D7%91%D7%A8%D7%92%D7%94-%D7%9C%D7%A0%D7%A7%D7%95%D7%93%D7%AA-%D7%9E%D7%99%D7%9D-%D7%AA%D7%91%D7%A8%D7%99%D7%92-%D7%97%D7%99%D7%A6%D7%95/
9091023010,"ברך לריתוך הברגה לנקודת מים – תבריג פנימי ""½20X נטול עופרת",ברך,נטול עופרת,,נקודת מים,ריתוך,פנימי,,,,,,,,,"½2""",,,,,0X,9091023010.jpg,4,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-%D7%94%D7%91%D7%A8%D7%92%D7%94-%D7%9C%D7%A0%D7%A7%D7%95%D7%93%D7%AA-%D7%9E%D7%99%D7%9D-%D7%AA%D7%91%D7%A8%D7%99%D7%92-%D7%A4%D7%A0%D7%99%D7%9E-2/
92518207,"ברך לריתוך הברגה לנקודת מים – תבריג פנימי ""¾/25",ברך,,,נקודת מים,ריתוך,פנימי,,,,,,,,,"¾""",,,,,25,92518207.jpg,4,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-%D7%94%D7%91%D7%A8%D7%92%D7%94-%D7%9C%D7%A0%D7%A7%D7%95%D7%93%D7%AA-%D7%9E%D7%99%D7%9D-%D7%AA%D7%91%D7%A8%D7%99%D7%92-%D7%A4%D7%A0%D7%99%D7%9E-3/
92518206,"ברך לריתוך הברגה לנקודת מים – תבריג פנימי ""½25X",ברך,,,נקודת מים,ריתוך,פנימי,,,,,,,,,"½2""",,,,,5X,92518206.jpg,5,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-%D7%94%D7%91%D7%A8%D7%92%D7%94-%D7%9C%D7%A0%D7%A7%D7%95%D7%93%D7%AA-%D7%9E%D7%99%D7%9D-%D7%AA%D7%91%D7%A8%D7%99%D7%92-%D7%A4%D7%A0%D7%99%D7%9E-4/
9091023016,"ברך לריתוך הברגה לנקודת מים – תבריג פנימי ""¾32X נטול עופרת",ברך,נטול עופרת,,נקודת מים,ריתוך,פנימי,,,,,,,,,"¾3""",,,,,2X,9091023016.jpg,4,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-%D7%94%D7%91%D7%A8%D7%92%D7%94-%D7%9C%D7%A0%D7%A7%D7%95%D7%93%D7%AA-%D7%9E%D7%99%D7%9D-%D7%AA%D7%91%D7%A8%D7%99%D7%92-%D7%A4%D7%A0%D7%99%D7%9E-5/
9091023018,"ברך לריתוך הברגה לנקודת מים – תבריג פנימי ""32X1 נטול עופרת",ברך,נטול עופרת,,נקודת מים,ריתוך,פנימי,,,,,,,,,"3""",,,,,2X1,9091023018.jpg,4,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-%D7%94%D7%91%D7%A8%D7%92%D7%94-%D7%9C%D7%A0%D7%A7%D7%95%D7%93%D7%AA-%D7%9E%D7%99%D7%9D-%D7%AA%D7%91%D7%A8%D7%99%D7%92-%D7%A4%D7%A0%D7%99%D7%9E-6/
92518205,"ברך לריתוך הברגה לנקודת מים – תבריג פנימי ""¾/20",ברך,,,נקודת מים,ריתוך,פנימי,,,,,,,,,"¾""",,,,,20,92518205.jpg,5,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-%D7%94%D7%91%D7%A8%D7%92%D7%94-%D7%9C%D7%A0%D7%A7%D7%95%D7%93%D7%AA-%D7%9E%D7%99%D7%9D-%D7%AA%D7%91%D7%A8%D7%99%D7%92-%D7%A4%D7%A0%D7%99%D7%9E/
92117110,ברך לריתוך  110/45°,ברך,,,,ריתוך,,,,,110,110,,,45,,,,,,,92117110.jpg,4,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-11045/
92117050,ברך לריתוך  110/90°,ברך,,,,ריתוך,,,,,110,110,,,90,,,,,,,92117050.jpg,3,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-11090/
92117111,ברך לריתוך  125/45°,ברך,,,,ריתוך,,,,,125,125,,,45,,,,,,,92117111.jpg,2,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-12545/
92117051,ברך לריתוך  125/90°,ברך,,,,ריתוך,,,,,125,125,,,90,,,,,,,92117051.jpg,3,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-12590/
921912531,ברך לריתוך  160/45° ריתוך פנים 11 SDR,ברך,,,,ריתוך פנים,,,,,160,160,,,45,,,,11,,לריתוך,921912531.jpg,3,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-16045-%D7%A8%D7%99%D7%AA%D7%95%D7%9A-%D7%A4%D7%A0%D7%99%D7%9D-11-sdr/
992512530,ברך לריתוך  160/45° ריתוך פנים 17.6 SDR,ברך,,,,ריתוך פנים,,,,,160,160,,,45,,,,17.6,,לריתוך,992512530.jpg,5,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-16045-%D7%A8%D7%99%D7%AA%D7%95%D7%9A-%D7%A4%D7%A0%D7%99%D7%9D-17-6-sdr/
992412131,ברך לריתוך  160/90° ריתוך פנים 11 SDR,ברך,,,,ריתוך פנים,,,,,160,160,,,90,,,,11,,לריתוך,992412131.jpg,4,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-16090-%D7%A8%D7%99%D7%AA%D7%95%D7%9A-%D7%A4%D7%A0%D7%99%D7%9D-11-sdr/
992512130,ברך לריתוך  160/90° ריתוך פנים 17.6 SDR,ברך,,,,ריתוך פנים,,,,,160,160,,,90,,,,17.6,,לריתוך,992512130.jpg,5,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-16090-%D7%A8%D7%99%D7%AA%D7%95%D7%9A-%D7%A4%D7%A0%D7%99%D7%9D-17-6-sdr/
922012535,ברך לריתוך  200/45° ריתוך פנים 11 SDR,ברך,,,,ריתוך פנים,,,,,200,200,,,45,,,,11,,לריתוך,922012535.jpg,5,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-20045-%D7%A8%D7%99%D7%AA%D7%95%D7%9A-%D7%A4%D7%A0%D7%99%D7%9D-11-sdr/
922512534,ברך לריתוך  200/45° ריתוך פנים 17.6 SDR,ברך,,,,ריתוך פנים,,,,,200,200,,,45,,,,17.6,,לריתוך,922512534.jpg,5,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-20045-%D7%A8%D7%99%D7%AA%D7%95%D7%9A-%D7%A4%D7%A0%D7%99%D7%9D-17-6-sdr/
992412135,ברך לריתוך  200/90° ריתוך פנים 11 SDR,ברך,,,,ריתוך פנים,,,,,200,200,,,90,,,,11,,לריתוך,992412135.jpg,5,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-20090-%D7%A8%D7%99%D7%AA%D7%95%D7%9A-%D7%A4%D7%A0%D7%99%D7%9D-11-sdr/
922512134,ברך לריתוך  200/90° ריתוך פנים 17.6 SDR,ברך,,,,ריתוך פנים,,,,,200,200,,,90,,,,17.6,,לריתוך,922512134.jpg,5,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-20090-%D7%A8%D7%99%D7%AA%D7%95%D7%9A-%D7%A4%D7%A0%D7%99%D7%9D-17-6-sdr/
92317122,ברך לריתוך  20/45°,ברך,,,,ריתוך,,,,,20,20,,,45,,,,,,,92317122.jpg,4,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-2045-2/
92117102,ברך לריתוך  20/45°,ברך,,,,ריתוך,,,,,20,20,,,45,,,,,,,92117102.jpg,4,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-2045/
92317062,ברך לריתוך  20/90°,ברך,,,,ריתוך,,,,,20,20,,,90,,,,,,,92317062.jpg,4,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-2090-2/
92117042,ברך לריתוך  20/90°,ברך,,,,ריתוך,,,,,20,20,,,90,,,,,,,92117042.jpg,4,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-2090/
922012538,ברך לריתוך  250/45° ריתוך פנים 17.6 SDR,ברך,,,,ריתוך פנים,,,,,250,250,,,45,,,,17.6,,לריתוך,922012538.jpg,4,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-25045-%D7%A8%D7%99%D7%AA%D7%95%D7%9A-%D7%A4%D7%A0%D7%99%D7%9D-17-6-sdr/
992412139,ברך לריתוך  250/90° ריתוך פנים 11 SDR,ברך,,,,ריתוך פנים,,,,,250,250,,,90,,,,11,,לריתוך,992412139.jpg,5,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-25090-%D7%A8%D7%99%D7%AA%D7%95%D7%9A-%D7%A4%D7%A0%D7%99%D7%9D-11-sdr/
925212138,ברך לריתוך  250/90° ריתוך פנים 17.6 SDR,ברך,,,,ריתוך פנים,,,,,250,250,,,90,,,,17.6,,לריתוך,925212138.jpg,5,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-25090-%D7%A8%D7%99%D7%AA%D7%95%D7%9A-%D7%A4%D7%A0%D7%99%D7%9D-17-6-sdr/
92317123,ברך לריתוך  25/45°,ברך,,,,ריתוך,,,,,25,25,,,45,,,,,,,92317123.jpg,4,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-2545-2/
92117103,ברך לריתוך  25/45°,ברך,,,,ריתוך,,,,,25,25,,,45,,,,,,,92117103.jpg,3,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-2545/
92317063,ברך לריתוך  25/90°,ברך,,,,ריתוך,,,,,25,25,,,90,,,,,,,92317063.jpg,4,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-2590-2/
92117043,ברך לריתוך  25/90°,ברך,,,,ריתוך,,,,,25,25,,,90,,,,,,,92117043.jpg,5,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-2590/
92317124,ברך לריתוך  32/45°,ברך,,,,ריתוך,,,,,32,32,,,45,,,,,,,92317124.jpg,4,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-3245-2/
92117104,ברך לריתוך  32/45°,ברך,,,,ריתוך,,,,,32,32,,,45,,,,,,,92117104.jpg,4,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-3245/
92317064,ברך לריתוך  32/90°,ברך,,,,ריתוך,,,,,32,32,,,90,,,,,,,92317064.jpg,5,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-3290-2/
92117044,ברך לריתוך  32/90°,ברך,,,,ריתוך,,,,,32,32,,,90,,,,,,,92117044.jpg,5,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-3290/
92317125,ברך לריתוך  40/45°,ברך,,,,ריתוך,,,,,40,40,,,45,,,,,,,92317125.jpg,5,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-4045-2/
92117105,ברך לריתוך  40/45°,ברך,,,,ריתוך,,,,,40,40,,,45,,,,,,,92117105.jpg,4,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-4045/
92317065,ברך לריתוך  40/90°,ברך,,,,ריתוך,,,,,40,40,,,90,,,,,,,92317065.jpg,5,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-4090-2/
92117045,ברך לריתוך  40/90°,ברך,,,,ריתוך,,,,,40,40,,,90,,,,,,,92117045.jpg,3,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-4090/
92117106,ברך לריתוך  50/45°,ברך,,,,ריתוך,,,,,50,50,,,45,,,,,,,92117106.jpg,5,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-5045/
92117046,ברך לריתוך  50/90°,ברך,,,,ריתוך,,,,,50,50,,,90,,,,,,,92117046.jpg,3,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-5090/
92117107,ברך לריתוך  63/45°,ברך,,,,ריתוך,,,,,63,63,,,45,,,,,,,92117107.jpg,4,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-6345/
92117047,ברך לריתוך  63/90°,ברך,,,,ריתוך,,,,,63,63,,,90,,,,,,,92117047.jpg,4,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-6390/
92117108,ברך לריתוך  75/45°,ברך,,,,ריתוך,,,,,75,75,,,45,,,,,,,92117108.jpg,3,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-7545/
92117048,ברך לריתוך  75/90°,ברך,,,,ריתוך,,,,,75,75,,,90,,,,,,,92117048.jpg,3,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-7590/
92117109,ברך לריתוך  90/45°,ברך,,,,ריתוך,,,,,90,90,,,45,,,,,,,92117109.jpg,4,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-9045/
92117049,ברך לריתוך  90/90°,ברך,,,,ריתוך,,,,,90,90,,,90,,,,,,,92117049.jpg,4,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A8%D7%99%D7%AA%D7%95%D7%9A-9090/
40040150,ברך לשפכים חמים 15º בקוטר 110,ברך,,,שפכים חמים,,,,,,110,110,,,15,,,,,,,40040150.jpg,3,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A9%D7%A4%D7%9B%D7%99%D7%9D-%D7%97%D7%9E%D7%99%D7%9D-15o-%D7%91%D7%A7%D7%95%D7%98%D7%A8-110/
40060100,ברך לשפכים חמים 15º בקוטר 160,ברך,,,שפכים חמים,,,,,,160,160,,,15,,,,,,,40060100.jpg,4,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A9%D7%A4%D7%9B%D7%99%D7%9D-%D7%97%D7%9E%D7%99%D7%9D-15o-%D7%91%D7%A7%D7%95%D7%98%D7%A8-160/
40040350,ברך לשפכים חמים 30º בקוטר 110,ברך,,,שפכים חמים,,,,,,110,110,,,30,,,,,,,40040350.jpg,3,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A9%D7%A4%D7%9B%D7%99%D7%9D-%D7%97%D7%9E%D7%99%D7%9D-30o-%D7%91%D7%A7%D7%95%D7%98%D7%A8-110/
40060300,ברך לשפכים חמים 30º בקוטר 160,ברך,,,שפכים חמים,,,,,,160,160,,,30,,,,,,,40060300.jpg,3,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A9%D7%A4%D7%9B%D7%99%D7%9D-%D7%97%D7%9E%D7%99%D7%9D-30o-%D7%91%D7%A7%D7%95%D7%98%D7%A8-160/
40040467,ברך לשפכים חמים 45° עם ביקורת גב בקוטר 110,ברך,עם ביקורת גב,,שפכים חמים,,,,,,110,110,,,45,,,,,,,40040467.jpg,3,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A9%D7%A4%D7%9B%D7%99%D7%9D-%D7%97%D7%9E%D7%99%D7%9D-45-%D7%A2%D7%9D-%D7%91%D7%99%D7%A7%D7%95%D7%A8%D7%AA-%D7%92%D7%91-%D7%91%D7%A7%D7%95%D7%98%D7%A8-110/
40060457,ברך לשפכים חמים 45° עם ביקורת גב בקוטר 160,ברך,עם ביקורת גב,,שפכים חמים,,,,,,160,160,,,45,,,,,,,40060457.jpg,4,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A9%D7%A4%D7%9B%D7%99%D7%9D-%D7%97%D7%9E%D7%99%D7%9D-45-%D7%A2%D7%9D-%D7%91%D7%99%D7%A7%D7%95%D7%A8%D7%AA-%D7%92%D7%91-%D7%91%D7%A7%D7%95%D7%98%D7%A8-160/
40020467,ברך לשפכים חמים 45° עם ביקורת גב בקוטר 50,ברך,עם ביקורת גב,,שפכים חמים,,,,,,50,50,,,45,,,,,,,40020467.jpg,3,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A9%D7%A4%D7%9B%D7%99%D7%9D-%D7%97%D7%9E%D7%99%D7%9D-45-%D7%A2%D7%9D-%D7%91%D7%99%D7%A7%D7%95%D7%A8%D7%AA-%D7%92%D7%91-%D7%91%D7%A7%D7%95%D7%98%D7%A8-50/
40040468,ברך לשפכים חמים 45° עם ביקורת ימין בקוטר 110,ברך,עם ביקורת|ימין,,שפכים חמים,,,,,,110,110,,,45,,,,,,,40040468.jpg,3,https://www.huliot.co.il/product/%D7%91%D7%A8%D7%9A-%D7%9C%D7%A9%D7%A4%D7%9B%D7%99%D7%9D-%D7%97%D7%9E%D7%99%D7%9D-45-%D7%A2%D7%9D-%D7%91%D7%99%D7%A7%D7%95%D7%A8%D7%AA-%D7%99%D7%9E%D7%99%D7%9F-%D7%91%D7%A7%D7%95%D7%98%D7%A8-110/
