sku,product_name,type,features,series,application,connection,thread,gender,material,color,sizes_raw,diameter_mm,diameter2_mm,diameter3_mm,angle_deg,inch,length_mm,wall_mm,sdr,sn_class,leftover,image_file,image_count,page_url
,צינור חלק לשפכים חמים בקוטר 63 L- 4000,צינור,חלק,,שפכים חמים,,,,,,63,63,,,,,4000,,,,,_63_l_4000.jpg,6,http://www.huliot.co.il:80/product/%D7%A6%D7%99%D7%A0%D7%95%D7%A8-%D7%97%D7%9C%D7%A7-%D7%9C%D7%A9%D7%A4%D7%9B%D7%99%D7%9D-%D7%97%D7%9E%D7%99%D7%9D-%D7%91%D7%A7%D7%95%D7%98%D7%A8-63-l-4000/
,צינור לביוב SN-4 בקוטר 110 L1500,צינור,,,ביוב,,,,,,110,110,,,,,1500,,,SN4,,_sn_4_110_l1500.jpg,2,http://www.huliot.co.il:80/product/%D7%A6%D7%99%D7%A0%D7%95%D7%A8-%D7%9C%D7%91%D7%99%D7%95%D7%91-sn-4-%D7%91%D7%A7%D7%95%D7%98%D7%A8-110-l1500/
,צינור לביוב SN-4 בקוטר 160 L1500,צינור,,,ביוב,,,,,,160,160,,,,,1500,,,SN4,,_sn_4_160_l1500.jpg,2,http://www.huliot.co.il:80/product/%D7%A6%D7%99%D7%A0%D7%95%D7%A8-%D7%9C%D7%91%D7%99%D7%95%D7%91-sn-4-%D7%91%D7%A7%D7%95%D7%98%D7%A8-160-l1500/
,צינור לביוב SN-8 בקוטר 400 L3000,צינור,,,ביוב,,,,,,400,400,,,,,3000,,,SN8,,_sn_8_400_l3000.jpg,3,http://www.huliot.co.il:80/product/%D7%A6%D7%99%D7%A0%D7%95%D7%A8-%D7%9C%D7%91%D7%99%D7%95%D7%91-sn-8-%D7%91%D7%A7%D7%95%D7%98%D7%A8-400-l3000/
,צינור פוליפרופילן לשפכים חמים בקוטר 160 L2000,צינור,,,שפכים חמים,,,,PP,,160,160,,,,,2000,,,,,_160_l2000.jpg,2,http://www.huliot.co.il:80/product/%D7%A6%D7%99%D7%A0%D7%95%D7%A8-%D7%A4%D7%95%D7%9C%D7%99%D7%A4%D7%A8%D7%95%D7%A4%D7%99%D7%9C%D7%9F-%D7%9C%D7%A9%D7%A4%D7%9B%D7%99%D7%9D-%D7%97%D7%9E%D7%99%D7%9D-%D7%91%D7%A7%D7%95%D7%98%D7%A8-160-l2000/
,צינור פוליפרופילן לשפכים חמים בקוטר 160 L250,צינור,,,שפכים חמים,,,,PP,,160,160,,,,,250,,,,,_160_l250.jpg,2,http://www.huliot.co.il:80/product/%D7%A6%D7%99%D7%A0%D7%95%D7%A8-%D7%A4%D7%95%D7%9C%D7%99%D7%A4%D7%A8%D7%95%D7%A4%D7%99%D7%9C%D7%9F-%D7%9C%D7%A9%D7%A4%D7%9B%D7%99%D7%9D-%D7%97%D7%9E%D7%99%D7%9D-%D7%91%D7%A7%D7%95%D7%98%D7%A8-160-l250/
,צינור פוליפרופילן לשפכים חמים בקוטר 160 L3000,צינור,,,שפכים חמים,,,,PP,,160,160,,,,,3000,,,,,_160_l3000.jpg,2,http://www.huliot.co.il:80/product/%D7%A6%D7%99%D7%A0%D7%95%D7%A8-%D7%A4%D7%95%D7%9C%D7%99%D7%A4%D7%A8%D7%95%D7%A4%D7%99%D7%9C%D7%9F-%D7%9C%D7%A9%D7%A4%D7%9B%D7%99%D7%9D-%D7%97%D7%9E%D7%99%D7%9D-%D7%91%D7%A7%D7%95%D7%98%D7%A8-160-l3000/
,צינור פוליפרופילן לשפכים חמים בקוטר 160 L500,צינור,,,שפכים חמים,,,,PP,,160,160,,,,,500,,,,,_160_l500.jpg,2,http://www.huliot.co.il:80/product/%D7%A6%D7%99%D7%A0%D7%95%D7%A8-%D7%A4%D7%95%D7%9C%D7%99%D7%A4%D7%A8%D7%95%D7%A4%D7%99%D7%9C%D7%9F-%D7%9C%D7%A9%D7%A4%D7%9B%D7%99%D7%9D-%D7%97%D7%9E%D7%99%D7%9D-%D7%91%D7%A7%D7%95%D7%98%D7%A8-160-l500/
61237040,אביק נירוסטה  ¼1,אביק,,,,,,,נירוסטה,,,,,,,"¼1""",,,,,,61237040.jpg,6,https://www.huliot.co.il/product/%D7%90%D7%91%D7%99%D7%A7-%D7%A0%D7%99%D7%A8%D7%95%D7%A1%D7%98%D7%94-%C2%BC1-2/
61237040,אביק נירוסטה  ¼1,אביק,,,,,,,נירוסטה,,,,,,,"¼1""",,,,,,61237040.jpg,5,https://www.huliot.co.il/product/%D7%90%D7%91%D7%99%D7%A7-%D7%A0%D7%99%D7%A8%D7%95%D7%A1%D7%98%D7%94-%C2%BC1/
61451740,"אביק נירוסטה ""2",אביק,,,,,,,נירוסטה,,,,,,,"2""",,,,,,61451740.jpg,5,https://www.huliot.co.il/product/%D7%90%D7%91%D7%99%D7%A7-%D7%A0%D7%99%D7%A8%D7%95%D7%A1%D7%98%D7%94-2-2/
61451740,"אביק נירוסטה ""2",אביק,,,,,,,נירוסטה,,,,,,,"2""",,,,,,61451740.jpg,5,https://www.huliot.co.il/product/%D7%90%D7%91%D7%99%D7%A7-%D7%A0%D7%99%D7%A8%D7%95%D7%A1%D7%98%D7%94-2/
